Date,Revenue,Quantity,Transactions,anomaly_score_label,Is_Anomaly
2022-11-07,5200.0023,1519.23,3,-1,True
2022-11-08,12400.0731,1544.15,4,-1,True
2022-11-09,14200.0386,2206.7200000000003,5,1,False
2022-11-10,13200.0426,2006.3200000000002,4,-1,True
2022-11-11,14400.0156,2264.02,5,1,False
2022-11-12,14000.0535,2233.23,5,1,False
2022-11-13,27674.4512,2217.83,5,-1,True
2022-11-14,17839.3445,2233.23,5,1,False
2022-11-15,13600.0305,2160.53,5,1,False
2022-11-16,13600.0305,2160.53,5,1,False
2022-11-17,14000.0535,2233.23,5,1,False
2022-11-18,14400.1114,2305.94,5,1,False
2022-11-19,14000.019400000001,2275.14,5,1,False
2022-11-20,8200.0466,678.3,2,-1,True
2022-11-21,14000.0838,2327.54,5,1,False
2022-11-22,13599.9918,2296.74,5,1,False
2022-11-23,13800.037800000002,2312.14,5,1,False
2022-11-24,13600.0259,2254.83,5,1,False
2022-11-25,13399.9799,2239.43,5,1,False
2022-11-26,13200.0638,2224.04,5,1,False
2022-11-27,13399.9799,2239.43,5,1,False
2022-11-28,13400.0454,2187.04,5,1,False
2022-11-29,13400.0454,2187.04,5,1,False
2022-11-30,13600.0914,2202.44,5,1,False
2022-12-01,13400.1144,2145.14,5,1,False
2022-12-02,14000.0535,2233.23,5,1,False
2022-12-03,14000.0535,2233.23,5,1,False
2022-12-04,9000.100699999999,739.89,2,-1,True
2022-12-05,14200.0386,2206.7200000000003,5,1,False
2022-12-06,14000.122500000001,2191.33,5,1,False
2022-12-07,14000.0535,2233.23,5,1,False
2022-12-08,14200.0995,2248.63,5,1,False
2022-12-09,14600.061599999999,2279.42,5,1,False
2022-12-10,14600.061599999999,2279.42,5,1,False
2022-12-11,15000.0881,2362.61,5,1,False
2022-12-12,14600.061599999999,2279.42,5,1,False
2022-12-13,14600.061599999999,2279.42,5,1,False
2022-12-14,14600.010600000001,2284.12,5,1,False
2022-12-15,14400.094500000001,2268.73,5,1,False
2022-12-16,15000.0371,2367.31,5,1,False
2022-12-17,15400.095000000001,2440.02,5,1,False
2022-12-18,15600.0111,2455.41,5,1,False
2022-12-19,15799.9613,2428.89,5,1,False
2022-12-20,16000.007300000001,2444.29,5,1,False
2022-12-21,16399.9694,2475.08,5,1,False
2022-12-22,16599.9644,2495.1800000000003,5,1,False
2022-12-23,16000.0218,2396.6,5,1,False
2022-12-24,16399.983900000003,2427.3900000000003,5,1,False
2022-12-25,16599.978900000002,2447.4900000000002,5,1,False
2022-12-26,17000.019900000003,2482.9900000000002,5,1,False
2022-12-27,17000.019900000003,2482.9900000000002,5,1,False
2022-12-28,17599.977,2533.88,5,-1,True
2022-12-29,16800.077999999998,2344.1800000000003,4,-1,True
